workerid,rt,trial_type,actual_utterance,name,refexp,gender,num_objects,object,effect,actual_cause,object_level,targetpos,stimtype,slider_id,quantifier,actual_effect_question,cause,response,other_gender,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,7934,cause_effect_prior,"""None of the ice cubes melted.""",Anna,NA,F,15,ice cubes,melted,Anna left  15 ice cubes  in the hot sun.,object_high,NA,NA,none,None,How many ice cubes melted?,left __ in the hot sun,1,M,11,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,7934,cause_effect_prior,"""None of the ice cubes melted.""",Anna,NA,F,15,ice cubes,melted,Anna left  15 ice cubes  in the hot sun.,object_high,NA,NA,lower_half,None,How many ice cubes melted?,left __ in the hot sun,0,M,11,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,7934,cause_effect_prior,"""None of the ice cubes melted.""",Anna,NA,F,15,ice cubes,melted,Anna left  15 ice cubes  in the hot sun.,object_high,NA,NA,upper_half,None,How many ice cubes melted?,left __ in the hot sun,0,M,11,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,7934,cause_effect_prior,"""None of the ice cubes melted.""",Anna,NA,F,15,ice cubes,melted,Anna left  15 ice cubes  in the hot sun.,object_high,NA,NA,all,None,How many ice cubes melted?,left __ in the hot sun,0,M,11,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,14515,cause_effect_prior,"""Why does Lucy always leave her stuff in the driveway?""",Deborah,NA,F,15,sunglasses,broke,Deborah ran  15 sunglasses  over with a car.,object_high,NA,NA,none,long_filler,How many sunglasses broke?,ran __ over with a car,0,M,12,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,14515,cause_effect_prior,"""Why does Lucy always leave her stuff in the driveway?""",Deborah,NA,F,15,sunglasses,broke,Deborah ran  15 sunglasses  over with a car.,object_high,NA,NA,lower_half,long_filler,How many sunglasses broke?,ran __ over with a car,0,M,12,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,14515,cause_effect_prior,"""Why does Lucy always leave her stuff in the driveway?""",Deborah,NA,F,15,sunglasses,broke,Deborah ran  15 sunglasses  over with a car.,object_high,NA,NA,upper_half,long_filler,How many sunglasses broke?,ran __ over with a car,0,M,12,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,14515,cause_effect_prior,"""Why does Lucy always leave her stuff in the driveway?""",Deborah,NA,F,15,sunglasses,broke,Deborah ran  15 sunglasses  over with a car.,object_high,NA,NA,all,long_filler,How many sunglasses broke?,ran __ over with a car,1,M,12,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,8791,cause_effect_prior,"""Some of the toy cars rolled.""",Frank,NA,M,15,toy cars,rolled,Frank pushed  15 toy cars.,object_low,NA,NA,none,Some,How many toy cars rolled?,pushed __,0,M,13,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,8791,cause_effect_prior,"""Some of the toy cars rolled.""",Frank,NA,M,15,toy cars,rolled,Frank pushed  15 toy cars.,object_low,NA,NA,lower_half,Some,How many toy cars rolled?,pushed __,0.83,M,13,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,8791,cause_effect_prior,"""Some of the toy cars rolled.""",Frank,NA,M,15,toy cars,rolled,Frank pushed  15 toy cars.,object_low,NA,NA,upper_half,Some,How many toy cars rolled?,pushed __,0.48,M,13,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,8791,cause_effect_prior,"""Some of the toy cars rolled.""",Frank,NA,M,15,toy cars,rolled,Frank pushed  15 toy cars.,object_low,NA,NA,all,Some,How many toy cars rolled?,pushed __,0,M,13,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,6910,cause_effect_prior,"""Some of the shelves fell down.""",Kenneth,NA,M,15,shelves,fell down,Kenneth punched  15 shelves.,object_low,NA,NA,none,Some,How many shelves fell down?,punched __,0,M,14,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,6910,cause_effect_prior,"""Some of the shelves fell down.""",Kenneth,NA,M,15,shelves,fell down,Kenneth punched  15 shelves.,object_low,NA,NA,lower_half,Some,How many shelves fell down?,punched __,0.6,M,14,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,6910,cause_effect_prior,"""Some of the shelves fell down.""",Kenneth,NA,M,15,shelves,fell down,Kenneth punched  15 shelves.,object_low,NA,NA,upper_half,Some,How many shelves fell down?,punched __,0.4,M,14,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,6910,cause_effect_prior,"""Some of the shelves fell down.""",Kenneth,NA,M,15,shelves,fell down,Kenneth punched  15 shelves.,object_low,NA,NA,all,Some,How many shelves fell down?,punched __,0,M,14,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
0,11686,cause_effect_prior,"""Pretty normal.""",Patrick,NA,M,15,candles,exploded,Patrick lit  15 candles.,object_low,NA,NA,none,short_filler,How many candles exploded?,lit __,1,M,15,English,2,Male,30,,Yes,2,Windows,768,1360,Chrome,3MG8450X2N9X86GFFAWG9YPNB5GUPU,3P23GFB3B7NTC1D232T7OU92V01DB6,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.70,Tue Feb 17 06:26:22 PST 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 19 07:26:22 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3MG8450X2N9X86GFFAWG9YPNB5GUPU,3IJXV6UZ1XIGXCZOONGTJAXCAQBRI6,0,Submitted,Tue Feb 17 23:09:37 PST 2015,Tue Feb 17 06:26:31 PST 2015,Tue Feb 17 06:29:37 PST 2015,,,,,,[],{},2.9135333333333335
