workerid,Item,response
8,blew away backpacks,1
8,stopped cars,14
8,exploded balls of tin foil,13
8,broke boxes,12
8,beeped old cars,0
8,ripped books,1
8,burnt rocks,2
8,ate the seeds birds,5
8,stuck beads,8
8,ran out of batteries phones,13
8,had the letter Z in them novels,15
8,reflected the sunlight phone screens,14
8,laughed kids,10
8,landed flat notebooks,14
8,froze berries,15
9,fell down shelves,10
9,blew away napkins,15
9,laughed comedians,8
9,broke boxes,15
9,popped bubbles,15
9,landed flat coins,15
9,got stained white tablecloths,15
9,burnt books,15
9,lit up computers,15
9,reflected the sunlight diamonds,15
9,exploded CDs,15
9,froze berries,15
9,dissolved sugar cubes,15
9,melted pencils,0
9,were green bananas,10
9,ran out of batteries phones,15
9,stuck stickers,15
9,ripped shirts,10
9,rhymed limericks,15
9,stopped motorcycles,15
9,had the letter Z in them love notes,1
9,beeped old cars,7
9,flashed phones,8
9,ate the seeds dogs,5
9,honked bicyclists,10
9,exploded gas tanks,11
9,stuck to the wall cakes,8
9,rolled wheelchairs,15
9,decomposed banana peels,15
9,sank balloons,0
10,melted pencils,0
10,dissolved carrots,0
10,exploded fireworks,15
10,stuck to the wall cakes,1
10,laughed lawyers,10
10,exploded eggs,15
10,fell down shelves,9
10,stuck sequins,15
10,sank balloons,0
10,had the letter Z in them birthday cards,2
10,rhymed poems,13
10,honked bus drivers,12
10,froze chocolate bars,15
10,were green bananas,2
10,landed flat pancakes,13
10,popped bubbles,14
10,rolled wheelchairs,15
10,burnt matches,15
10,lit up cd-players,12
10,ripped shirts,13
10,blew away backpacks,1
10,decomposed soda cans,0
10,stopped motorcycles,14
10,ran out of batteries laptops,15
10,got stained white tablecloths,15
10,beeped houses,0
10,flashed webcams,1
10,broke boxes,15
10,reflected the sunlight mirrors,15
10,ate the seeds butterflies,0
11,exploded candles,0
11,froze berries,15
11,rolled wheelchairs,15
11,sank marbles,15
11,popped balloons,15
11,dissolved oreos,15
11,burnt matches,15
11,honked bicyclists,0
11,exploded eggs,8
11,melted pencils,0
11,rhymed songs,12
11,stopped cars,15
11,lit up cd-players,15
11,laughed kids,8
11,got stained white shirts,15
11,stuck sequins,15
11,fell down block towers,15
11,ripped books,10
11,ran out of batteries bike lights,15
11,blew away backpacks,3
11,decomposed banana peels,11
11,flashed cameras,4
11,landed flat coins,15
11,ate the seeds butterflies,15
11,were green strawberries,3
11,broke sunglasses,15
11,reflected the sunlight diamonds,15
11,beeped old cars,0
11,stuck to the wall cakes,3
11,had the letter Z in them novels,11
12,exploded candles,0
12,stuck to the wall cakes,0
12,dissolved sugar cubes,15
12,were green bananas,8
12,flashed webcams,0
12,got stained white tablecloths,15
12,sank cups,0
12,landed flat coins,15
12,stuck stickers,15
12,decomposed soda cans,0
12,honked bicyclists,0
12,melted crayons,15
12,ripped books,15
12,burnt books,15
12,rhymed limericks,15
12,ate the seeds dogs,0
12,fell down block towers,4
12,broke logs,0
12,laughed kids,10
12,popped balloons,14
12,reflected the sunlight phone screens,14
12,froze bottles of hand soap,15
12,exploded balls of tin foil,15
12,rolled toy cars,12
12,blew away backpacks,0
12,ran out of batteries laptops,14
12,stopped motorcycles,8
12,had the letter Z in them love notes,3
12,lit up cd-players,12
12,beeped houses,0
13,fell down shelves,10
13,popped balloons,15
13,reflected the sunlight phone screens,15
13,exploded candles,0
13,got stained white shirts,15
13,blew away hats,15
13,burnt matches,15
13,stuck to the wall cakes,13
13,rolled toy cars,15
13,dissolved sugar cubes,15
13,exploded CDs,0
13,sank balloons,0
13,honked taxi drivers,14
13,lit up flashlights,15
13,stuck sequins,15
13,froze berries,15
13,ripped shirts,14
13,broke logs,9
13,laughed kids,12
13,were green clovers,15
13,stopped motorcycles,15
13,melted pencils,0
13,landed flat pancakes,12
13,decomposed soda cans,0
13,flashed webcams,10
13,had the letter Z in them novels,15
13,ran out of batteries bike lights,12
13,rhymed songs,14
13,beeped old cars,2
13,ate the seeds dogs,15
14,lit up flashlights,13
14,broke boxes,15
14,rolled shopping carts,15
14,rhymed limericks,12
14,stuck stickers,14
14,melted crayons,12
14,fell down block towers,7
14,burnt rocks,0
14,stuck to the wall cakes,11
14,exploded fireworks,14
14,were green clovers,14
14,froze berries,15
14,honked bus drivers,12
14,laughed lawyers,10
14,sank marbles,15
14,dissolved carrots,0
14,flashed webcams,2
14,blew away napkins,15
14,landed flat coins,15
14,decomposed soda cans,0
14,ripped books,12
14,had the letter Z in them love notes,13
14,ate the seeds dogs,3
14,beeped old cars,0
14,popped eggs,14
14,exploded CDs,11
14,ran out of batteries bike lights,13
14,got stained white tablecloths,15
14,stopped cars,15
14,reflected the sunlight diamonds,14
15,dissolved oreos,15
15,landed flat pancakes,15
15,stuck to the wall baseballs,8
15,lit up cd-players,15
15,ripped books,14
15,melted pencils,0
15,laughed comedians,3
15,were green strawberries,0
15,fell down block towers,15
15,broke logs,4
15,decomposed soda cans,13
15,froze chocolate bars,13
15,got stained white tablecloths,13
15,popped bubbles,9
15,ran out of batteries bike lights,12
16,exploded eggs,15
16,dissolved sugar cubes,15
16,sank marbles,15
16,melted ice cubes,15
16,froze chocolate bars,15
16,exploded gas tanks,15
16,fell down block towers,15
16,burnt books,15
16,blew away hats,15
16,rolled toy cars,15
16,lit up flashlights,15
16,laughed comedians,11
16,ate the seeds butterflies,12
16,decomposed banana peels,15
16,reflected the sunlight diamonds,15
16,flashed phones,11
16,rhymed limericks,15
16,broke sunglasses,15
16,stuck to the wall pieces of gum,8
16,got stained white carpets,15
16,stopped bicycles,15
16,ripped books,15
16,were green bananas,5
16,ran out of batteries phones,15
16,stuck stickers,15
16,had the letter Z in them birthday cards,1
16,popped eggs,7
16,honked bus drivers,13
16,landed flat notebooks,15
16,beeped old cars,8
17,froze chocolate bars,15
17,rolled wheelchairs,15
17,rhymed poems,9
17,blew away napkins,15
17,burnt books,15
17,exploded fireworks,15
17,laughed lawyers,8
17,ate the seeds butterflies,15
17,fell down shelves,12
17,exploded eggs,15
17,dissolved sugar cubes,15
17,broke boxes,15
17,landed flat notebooks,15
17,sank cups,15
17,lit up flashlights,15
17,ripped books,15
17,popped eggs,15
17,decomposed banana peels,15
17,stuck sequins,15
17,stopped cars,15
17,stuck to the wall pieces of gum,15
17,reflected the sunlight phone screens,15
17,were green bananas,0
17,had the letter Z in them birthday cards,6
17,beeped houses,8
17,got stained white carpets,15
17,honked bicyclists,12
17,flashed webcams,15
17,melted pencils,15
17,ran out of batteries bike lights,15
18,stuck beads,11
18,lit up computers,9
18,rolled toy cars,7
18,stuck to the wall cakes,11
18,exploded balls of tin foil,9
18,ate the seeds butterflies,10
18,had the letter Z in them love notes,10
18,flashed webcams,10
18,got stained white carpets,10
18,were green strawberries,11
18,landed flat pancakes,8
18,laughed comedians,7
18,ran out of batteries phones,12
18,reflected the sunlight mirrors,8
18,beeped old cars,9
18,melted ice cubes,13
18,sank cups,7
18,dissolved carrots,8
18,stopped cars,12
18,burnt books,15
18,ripped shirts,15
18,exploded gas tanks,15
18,honked taxi drivers,14
18,froze berries,15
18,blew away napkins,15
18,rhymed songs,8
18,fell down block towers,11
18,decomposed pinecones,10
18,popped bubbles,15
18,broke boxes,12
19,dissolved carrots,0
19,blew away napkins,15
19,melted ice cubes,15
19,burnt matches,15
19,decomposed soda cans,0
19,froze berries,15
19,got stained white tablecloths,15
19,stuck sequins,15
19,reflected the sunlight diamonds,15
19,had the letter Z in them novels,15
19,honked taxi drivers,10
19,rolled shopping carts,15
19,sank balloons,0
19,ripped books,10
19,exploded candles,0
19,stopped cars,15
19,were green clovers,15
19,laughed lawyers,5
19,exploded balls of tin foil,15
19,landed flat pancakes,8
19,ate the seeds dogs,3
19,rhymed poems,8
19,popped bubbles,15
19,fell down block towers,15
19,stuck to the wall pieces of gum,2
19,flashed webcams,5
19,beeped old cars,0
19,lit up computers,14
19,broke boxes,15
19,ran out of batteries phones,10
20,fell down block towers,11
20,ripped books,11
20,laughed lawyers,5
20,got stained white carpets,8
20,flashed webcams,7
20,melted crayons,9
20,blew away hats,6
20,rhymed songs,12
20,had the letter Z in them novels,7
20,burnt rocks,6
20,ate the seeds butterflies,8
20,popped bubbles,9
20,stopped cars,10
20,honked bicyclists,8
20,exploded candles,9
20,broke logs,15
20,were green strawberries,8
20,ran out of batteries laptops,7
20,stuck to the wall pieces of gum,9
20,rolled toy cars,15
20,stuck beads,9
20,froze berries,15
20,dissolved carrots,0
20,sank cups,12
20,landed flat pancakes,11
20,beeped old cars,10
20,lit up computers,15
20,reflected the sunlight phone screens,4
20,decomposed banana peels,10
20,exploded balls of tin foil,5
21,melted crayons,15
21,rolled toy cars,15
21,sank balloons,0
21,dissolved carrots,0
21,were green clovers,15
21,burnt books,15
21,exploded candles,0
21,stuck stickers,15
21,stuck to the wall baseballs,0
21,stopped bicycles,15
21,broke sunglasses,15
21,fell down card towers,15
21,blew away hats,15
21,popped bubbles,15
21,got stained white tablecloths,15
21,reflected the sunlight diamonds,15
21,landed flat coins,15
21,exploded eggs,15
21,froze berries,15
21,decomposed soda cans,0
21,lit up flashlights,15
21,ripped books,15
21,honked bus drivers,10
21,flashed phones,5
21,laughed lawyers,8
21,ate the seeds butterflies,0
21,beeped houses,0
21,rhymed poems,14
21,ran out of batteries phones,3
21,had the letter Z in them novels,15
22,reflected the sunlight diamonds,15
22,laughed comedians,13
22,ripped shoes,10
22,burnt rocks,15
22,sank marbles,15
22,broke boxes,15
22,lit up cd-players,14
22,decomposed soda cans,0
22,blew away backpacks,0
22,popped bubbles,15
22,rhymed poems,13
22,flashed webcams,0
22,exploded fireworks,0
22,melted ice cubes,15
22,got stained white tablecloths,15
22,dissolved oreos,0
22,stopped motorcycles,15
22,stuck to the wall baseballs,0
22,rolled toy cars,15
22,ran out of batteries phones,7
22,beeped new cars,0
22,had the letter Z in them novels,15
22,ate the seeds butterflies,15
22,exploded eggs,10
22,were green bananas,5
22,stuck stickers,15
22,fell down card towers,15
22,landed flat pancakes,14
22,froze bottles of hand soap,15
22,honked bus drivers,13
23,dissolved carrots,0
23,broke sunglasses,15
23,rhymed poems,10
23,laughed comedians,10
23,ripped shirts,8
23,stopped cars,15
23,landed flat pancakes,15
23,ate the seeds butterflies,0
23,froze chocolate bars,15
23,reflected the sunlight diamonds,15
23,stuck to the wall baseballs,0
23,blew away napkins,15
23,lit up cd-players,15
23,got stained white carpets,15
23,were green strawberries,1
23,beeped old cars,0
23,popped balloons,15
23,rolled toy cars,15
23,exploded candles,0
23,flashed webcams,4
23,honked bicyclists,0
23,melted crayons,15
23,exploded eggs,1
23,stuck stickers,15
23,had the letter Z in them love notes,2
23,sank balloons,0
23,burnt books,15
23,fell down card towers,15
23,ran out of batteries laptops,15
23,decomposed soda cans,0
24,burnt books,15
24,froze chocolate bars,15
24,reflected the sunlight diamonds,15
24,honked bicyclists,8
24,rolled toy cars,15
24,melted ice cubes,15
24,popped balloons,15
24,rhymed songs,8
24,ripped shoes,15
24,dissolved carrots,0
24,flashed phones,15
24,stuck stickers,15
24,blew away hats,15
24,exploded fireworks,15
24,stopped motorcycles,15
24,landed flat notebooks,15
24,had the letter Z in them novels,15
24,decomposed soda cans,0
24,beeped new cars,15
24,broke boxes,15
24,lit up cd-players,15
24,fell down card towers,15
24,stuck to the wall baseballs,0
24,ate the seeds birds,8
24,exploded CDs,0
24,got stained white tablecloths,15
24,were green strawberries,8
24,sank balloons,0
24,ran out of batteries bike lights,15
24,laughed comedians,8
25,reflected the sunlight diamonds,15
25,exploded candles,0
25,froze berries,15
25,were green bananas,8
25,laughed kids,10
25,broke sunglasses,15
25,stuck stickers,15
25,lit up flashlights,15
25,rhymed poems,15
25,blew away hats,15
25,burnt books,15
25,stopped motorcycles,15
25,dissolved oreos,0
25,exploded balls of tin foil,15
25,ate the seeds dogs,10
25,honked bus drivers,15
25,melted crayons,13
25,stuck to the wall baseballs,0
25,landed flat notebooks,5
25,rolled shopping carts,14
25,ran out of batteries bike lights,8
25,fell down shelves,1
25,sank cups,0
25,decomposed pinecones,15
25,ripped books,10
25,flashed phones,8
25,got stained white tablecloths,13
25,beeped houses,0
25,had the letter Z in them birthday cards,5
25,popped bubbles,15
26,broke sunglasses,15
26,exploded candles,0
26,stuck to the wall pieces of gum,7
26,melted crayons,15
26,were green strawberries,0
26,popped balloons,15
26,sank marbles,15
26,froze berries,15
26,dissolved sugar cubes,15
26,honked bicyclists,7
26,laughed lawyers,8
26,rolled wheelchairs,15
26,decomposed pinecones,15
26,ripped shoes,8
26,got stained white carpets,15
26,lit up flashlights,7
26,exploded eggs,8
26,stuck sequins,15
26,ran out of batteries phones,8
26,burnt rocks,0
26,flashed webcams,7
26,fell down block towers,15
26,rhymed poems,11
26,landed flat pancakes,15
26,beeped old cars,5
26,ate the seeds dogs,2
26,blew away backpacks,3
26,had the letter Z in them birthday cards,3
26,reflected the sunlight phone screens,15
26,stopped bicycles,14
27,laughed kids,9
27,popped eggs,13
27,rolled wheelchairs,14
27,were green bananas,6
27,lit up computers,14
27,ran out of batteries phones,12
27,melted crayons,13
27,burnt matches,14
27,exploded CDs,14
27,broke sunglasses,15
27,rhymed poems,13
27,stuck stickers,13
27,fell down shelves,9
27,ripped shirts,13
27,sank balloons,0
27,decomposed banana peels,15
27,ate the seeds birds,13
27,stuck to the wall baseballs,0
27,dissolved oreos,14
27,beeped old cars,4
27,landed flat coins,15
27,honked bicyclists,12
27,had the letter Z in them love notes,11
27,flashed webcams,8
27,exploded candles,0
27,reflected the sunlight diamonds,13
27,blew away backpacks,12
27,froze berries,15
27,stopped bicycles,14
27,got stained white tablecloths,15
28,popped bubbles,15
28,got stained white carpets,15
28,melted ice cubes,15
28,ate the seeds birds,14
28,decomposed banana peels,15
28,stopped cars,15
28,exploded candles,0
28,froze bottles of hand soap,15
28,stuck to the wall pieces of gum,5
28,rolled wheelchairs,15
28,rhymed limericks,13
28,were green clovers,15
28,reflected the sunlight mirrors,15
28,fell down block towers,14
28,ripped shirts,15
28,ran out of batteries laptops,13
28,stuck sequins,11
28,lit up cd-players,13
28,landed flat coins,15
28,exploded CDs,0
28,burnt matches,15
28,laughed lawyers,7
28,honked bicyclists,0
28,beeped houses,0
28,dissolved carrots,0
28,broke logs,8
28,flashed phones,3
28,sank cups,10
28,had the letter Z in them love notes,2
28,blew away hats,12
29,rhymed limericks,11
29,broke logs,6
29,burnt rocks,1
29,sank cups,7
29,lit up computers,8
29,reflected the sunlight diamonds,12
29,popped eggs,7
29,exploded gas tanks,14
29,blew away napkins,9
29,ripped books,13
29,ate the seeds birds,14
29,stuck to the wall cakes,3
29,froze chocolate bars,15
29,flashed phones,11
29,ran out of batteries phones,8
29,dissolved carrots,0
29,rolled shopping carts,12
29,had the letter Z in them birthday cards,2
29,stuck stickers,11
29,exploded CDs,15
29,honked bus drivers,11
29,laughed lawyers,0
29,melted pencils,0
29,got stained white carpets,15
29,stopped bicycles,14
29,were green strawberries,8
29,decomposed pinecones,3
29,landed flat notebooks,10
29,beeped old cars,8
29,fell down card towers,14
30,burnt matches,15
30,rolled toy cars,15
30,blew away hats,15
30,popped bubbles,15
30,lit up computers,15
30,were green bananas,7
30,fell down block towers,15
30,ripped shoes,15
30,got stained white carpets,15
30,exploded gas tanks,15
30,froze chocolate bars,15
30,dissolved oreos,15
30,stuck to the wall cakes,0
30,decomposed banana peels,15
30,ran out of batteries laptops,15
30,broke sunglasses,15
30,landed flat notebooks,9
30,stuck stickers,15
30,flashed webcams,8
30,honked bus drivers,3
30,stopped bicycles,15
30,beeped old cars,0
30,exploded CDs,0
30,melted crayons,15
30,reflected the sunlight phone screens,15
30,sank balloons,0
30,ate the seeds birds,15
30,had the letter Z in them love notes,3
30,laughed comedians,14
30,rhymed poems,13
31,melted pencils,0
31,burnt matches,15
31,sank marbles,14
31,honked taxi drivers,13
31,ate the seeds dogs,2
31,exploded candles,0
31,stuck sequins,12
31,froze berries,15
31,stopped bicycles,15
31,exploded eggs,12
31,laughed lawyers,11
31,popped balloons,14
31,got stained white tablecloths,15
31,dissolved carrots,0
31,ripped shirts,10
31,reflected the sunlight phone screens,10
31,rolled shopping carts,15
31,broke sunglasses,14
31,stuck to the wall pieces of gum,5
31,lit up flashlights,10
31,rhymed poems,7
31,were green strawberries,5
31,beeped old cars,2
31,had the letter Z in them love notes,7
31,blew away backpacks,0
31,flashed cameras,8
31,landed flat notebooks,9
31,fell down shelves,3
31,decomposed banana peels,3
31,ran out of batteries bike lights,9
32,burnt books,15
32,sank marbles,15
32,dissolved carrots,0
32,landed flat coins,15
32,rolled toy cars,15
32,reflected the sunlight mirrors,15
32,stopped cars,15
32,fell down shelves,2
32,stuck sequins,14
32,decomposed soda cans,0
32,popped eggs,0
32,melted pencils,0
32,broke boxes,15
32,ate the seeds birds,15
32,got stained white tablecloths,15
32,froze bottles of hand soap,15
32,laughed kids,12
32,ripped shoes,12
32,honked taxi drivers,13
32,had the letter Z in them birthday cards,2
32,rhymed poems,2
32,blew away hats,10
32,stuck to the wall cakes,1
32,beeped old cars,0
32,exploded gas tanks,15
32,lit up flashlights,14
32,flashed webcams,0
32,were green strawberries,7
32,exploded eggs,0
32,ran out of batteries phones,4
33,exploded candles,0
33,were green clovers,15
33,melted ice cubes,15
33,laughed kids,8
33,dissolved sugar cubes,15
33,froze berries,15
33,sank balloons,0
33,stuck sequins,14
33,rhymed limericks,15
33,decomposed soda cans,0
33,landed flat coins,15
33,popped balloons,15
33,broke boxes,15
33,blew away backpacks,0
33,fell down shelves,5
33,honked bicyclists,0
33,ate the seeds birds,12
33,reflected the sunlight diamonds,15
33,stopped bicycles,15
33,beeped houses,0
33,rolled shopping carts,15
33,flashed phones,8
33,ripped shirts,5
33,got stained white tablecloths,15
33,stuck to the wall cakes,2
33,had the letter Z in them birthday cards,0
33,burnt rocks,0
33,lit up cd-players,15
33,exploded balls of tin foil,0
33,ran out of batteries laptops,9
34,froze berries,15
34,reflected the sunlight mirrors,15
34,dissolved sugar cubes,15
34,stuck to the wall pieces of gum,10
34,laughed lawyers,3
34,exploded eggs,10
34,were green clovers,13
34,landed flat pancakes,15
34,blew away napkins,15
34,rolled shopping carts,15
34,ate the seeds butterflies,8
34,popped balloons,15
34,stuck beads,9
34,burnt matches,13
34,honked bicyclists,0
34,had the letter Z in them birthday cards,2
34,exploded gas tanks,15
34,lit up cd-players,14
34,decomposed pinecones,8
34,ripped shoes,11
34,rhymed songs,3
34,broke logs,11
34,stopped bicycles,15
34,sank cups,8
34,beeped old cars,0
34,got stained white tablecloths,15
34,flashed phones,8
34,melted pencils,0
34,ran out of batteries bike lights,14
34,fell down card towers,15
35,froze berries,15
35,burnt books,14
35,reflected the sunlight diamonds,15
35,dissolved oreos,15
35,melted crayons,15
35,honked bus drivers,15
35,exploded eggs,15
35,blew away napkins,12
35,rhymed limericks,14
35,stuck beads,11
35,got stained white shirts,15
35,flashed phones,14
35,exploded gas tanks,15
35,laughed lawyers,8
35,stopped motorcycles,13
35,stuck to the wall pieces of gum,15
35,ripped books,15
35,fell down shelves,9
35,ate the seeds birds,10
35,rolled shopping carts,7
35,were green clovers,15
35,popped eggs,5
35,broke logs,14
35,ran out of batteries laptops,8
35,decomposed banana peels,14
35,beeped old cars,8
35,had the letter Z in them novels,15
35,landed flat coins,15
35,lit up cd-players,13
35,sank cups,8
36,fell down card towers,15
36,burnt matches,15
36,stuck stickers,15
36,melted pencils,0
36,blew away napkins,15
36,popped bubbles,15
36,had the letter Z in them novels,15
36,reflected the sunlight phone screens,15
36,broke logs,5
36,landed flat coins,15
36,exploded fireworks,15
36,ripped shirts,13
36,exploded CDs,5
36,flashed webcams,2
36,laughed comedians,12
36,ate the seeds butterflies,7
36,ran out of batteries laptops,13
36,sank cups,6
36,were green strawberries,1
36,stopped bicycles,15
36,stuck to the wall cakes,2
36,froze bottles of hand soap,15
36,dissolved sugar cubes,15
36,honked bicyclists,1
36,rhymed limericks,15
36,decomposed pinecones,10
36,lit up cd-players,10
36,got stained white tablecloths,15
36,beeped old cars,0
36,rolled wheelchairs,15
37,decomposed banana peels,15
37,ate the seeds birds,15
37,were green clovers,15
37,broke boxes,15
37,blew away backpacks,3
37,got stained white tablecloths,15
37,stuck beads,15
37,burnt books,15
37,lit up flashlights,15
37,stuck to the wall pieces of gum,1
37,fell down card towers,15
37,flashed cameras,10
37,rolled shopping carts,15
37,ripped shirts,15
37,exploded CDs,0
37,sank balloons,2
37,melted ice cubes,15
37,rhymed limericks,15
37,landed flat pancakes,8
37,popped eggs,15
37,froze berries,15
37,exploded gas tanks,0
37,stopped bicycles,12
37,laughed comedians,6
37,ran out of batteries laptops,14
37,reflected the sunlight mirrors,11
37,dissolved carrots,0
37,had the letter Z in them birthday cards,1
37,beeped houses,1
37,honked bus drivers,0
38,popped balloons,15
38,rolled wheelchairs,15
38,exploded gas tanks,15
38,were green clovers,15
38,fell down block towers,15
38,flashed cameras,8
38,stuck to the wall baseballs,0
38,got stained white shirts,15
38,ate the seeds birds,15
38,ran out of batteries laptops,15
38,ripped shoes,15
38,decomposed pinecones,0
38,broke sunglasses,15
38,stuck sequins,15
38,honked bus drivers,12
38,dissolved carrots,0
38,had the letter Z in them love notes,8
38,reflected the sunlight mirrors,15
38,sank cups,15
38,blew away backpacks,1
38,landed flat coins,15
38,rhymed songs,14
38,lit up cd-players,15
38,burnt rocks,8
38,melted pencils,0
38,froze bottles of hand soap,15
38,stopped motorcycles,15
38,exploded balls of tin foil,15
38,laughed comedians,8
38,beeped new cars,15
39,rolled toy cars,10
39,broke logs,10
39,beeped old cars,9
39,stopped cars,9
39,lit up cd-players,8
39,stuck sequins,10
39,exploded fireworks,10
