workerid,Item,response
212,stuck stickers,15
212,rhymed limericks,15
212,blew away napkins,15
212,exploded gas tanks,10
213,lit up flashlights,15
213,broke logs,4
213,reflected the sunlight diamonds,15
213,popped eggs,0
213,landed flat pancakes,10
213,fell down card towers,15
213,froze berries,15
213,decomposed soda cans,0
213,flashed cameras,7
213,got stained white tablecloths,15
213,ate the seeds birds,15
213,were green bananas,7
213,exploded eggs,15
213,sank cups,11
213,honked taxi drivers,13
213,rhymed limericks,15
213,laughed kids,15
213,melted ice cubes,15
213,stopped cars,15
213,exploded gas tanks,15
213,blew away hats,15
213,had the letter Z in them novels,15
213,dissolved oreos,15
213,ripped shoes,15
213,stuck to the wall baseballs,0
213,beeped old cars,0
213,rolled wheelchairs,15
213,burnt books,15
213,ran out of batteries bike lights,7
213,stuck stickers,15
214,rhymed limericks,5
214,exploded balls of tin foil,15
214,fell down shelves,4
214,lit up flashlights,15
214,stuck stickers,14
214,broke logs,8
214,rolled toy cars,14
214,ripped books,12
214,popped bubbles,14
214,exploded gas tanks,15
214,decomposed pinecones,15
214,ran out of batteries phones,15
214,melted ice cubes,15
214,stuck to the wall pieces of gum,15
214,honked bicyclists,11
214,blew away napkins,15
214,ate the seeds dogs,15
214,landed flat notebooks,12
214,had the letter Z in them novels,15
214,dissolved oreos,15
214,reflected the sunlight mirrors,15
214,stopped bicycles,15
214,burnt matches,14
214,laughed comedians,14
214,froze chocolate bars,15
214,got stained white carpets,15
214,beeped houses,15
214,flashed cameras,13
214,were green clovers,15
214,sank balloons,15
215,stuck stickers,15
215,broke logs,2
215,dissolved oreos,0
215,ate the seeds birds,15
215,burnt rocks,0
215,decomposed banana peels,15
215,melted ice cubes,15
215,honked bus drivers,11
215,ran out of batteries laptops,12
215,flashed cameras,11
215,lit up cd-players,12
215,laughed lawyers,7
215,ripped shoes,5
215,exploded balls of tin foil,15
215,had the letter Z in them novels,15
215,rolled toy cars,15
215,exploded candles,0
215,blew away napkins,15
215,froze chocolate bars,15
215,were green strawberries,0
215,landed flat pancakes,14
215,rhymed poems,12
215,stopped motorcycles,15
215,beeped houses,0
215,stuck to the wall baseballs,0
215,reflected the sunlight phone screens,15
215,sank marbles,15
215,fell down shelves,10
215,got stained white carpets,15
215,popped balloons,15
216,popped eggs,2
216,burnt books,15
216,got stained white tablecloths,15
216,lit up flashlights,15
216,stopped bicycles,15
216,were green clovers,15
216,decomposed pinecones,2
216,fell down block towers,15
216,beeped houses,0
216,reflected the sunlight mirrors,15
216,broke logs,12
216,melted pencils,15
216,honked bicyclists,1
216,flashed webcams,15
216,froze berries,15
216,rhymed limericks,15
216,sank cups,12
216,had the letter Z in them novels,15
216,stuck to the wall cakes,1
216,ran out of batteries laptops,15
216,dissolved carrots,0
216,exploded candles,0
216,blew away napkins,15
216,landed flat notebooks,11
216,stuck stickers,15
216,rolled toy cars,15
216,laughed comedians,13
216,exploded CDs,1
216,ate the seeds dogs,15
216,ripped books,15
217,burnt matches,15
217,decomposed soda cans,15
217,got stained white carpets,15
217,reflected the sunlight phone screens,15
217,stuck stickers,15
217,blew away hats,15
217,rolled wheelchairs,15
217,fell down block towers,15
217,froze chocolate bars,15
217,had the letter Z in them love notes,5
217,ripped shoes,15
217,ate the seeds dogs,10
217,exploded candles,8
217,melted ice cubes,15
217,flashed webcams,15
217,stuck to the wall baseballs,8
217,rhymed limericks,9
217,dissolved sugar cubes,15
217,exploded CDs,15
217,sank marbles,15
217,landed flat notebooks,9
217,popped eggs,15
217,were green strawberries,6
217,beeped old cars,7
217,lit up computers,15
217,broke logs,10
217,ran out of batteries phones,15
217,laughed lawyers,9
217,honked bus drivers,8
217,stopped motorcycles,15
218,froze bottles of hand soap,15
218,were green clovers,15
218,broke boxes,15
218,reflected the sunlight phone screens,15
218,rolled wheelchairs,15
218,sank marbles,15
218,decomposed soda cans,0
218,had the letter Z in them love notes,1
218,beeped old cars,0
218,dissolved carrots,0
218,popped eggs,0
218,blew away backpacks,8
218,ripped shoes,8
218,stopped cars,15
218,stuck to the wall pieces of gum,3
218,ate the seeds butterflies,0
218,exploded candles,0
218,laughed lawyers,8
